# z_Value Average_Flux
1.021202261046984944e-01 1.304025573730468750e+02
2.713824957903739760e-02 1.681328430175781250e+02
7.208413723334722301e-02 2.298073120117187500e+02
8.374984164365177619e-02 2.797183837890625000e+02
6.568516517729819371e-02 1.299078674316406250e+02
4.816325632269245066e-02 1.304414215087890625e+02
7.529836170122732042e-02 2.650107116699218750e+02
9.075957464731568280e-02 2.687322692871093750e+02
4.186018238197032615e-02 4.848036575317382812e+01
2.202211132801727353e-02 8.321320343017578125e+01
9.478500284484639438e-02 1.860839843750000000e+02
4.538365207010885277e-02 5.461753463745117188e+01
3.116708399377919950e-02 7.811664581298828125e+01
4.238703247867414009e-02 1.006294937133789062e+02
2.548400708964809747e-02 8.036681365966796875e+01
3.378181423251178789e-02 5.626946640014648438e+01
2.595642321515199968e-02 8.476741790771484375e+01
6.225536646246394162e-02 2.682962646484375000e+02
8.075898641980498727e-02 9.446229553222656250e+01
4.648202611232315346e-02 4.616814422607421875e+01
7.926725979388979382e-02 2.153020629882812500e+02
9.302182690888015359e-02 1.707565002441406250e+02
7.653691468251239138e-02 2.903140563964843750e+02
4.163923679249101339e-02 2.672400856018066406e+01
8.026135118610379371e-02 1.194845962524414062e+02
2.202211132801727353e-02 3.699562454223632812e+01
7.183757951060781854e-02 1.661314392089843750e+02
3.943017392276088745e-02 5.453060150146484375e+01
7.183757951060781854e-02 1.839200897216796875e+02
8.699845580452819638e-02 8.692117309570312500e+01
9.176427771622566731e-02 1.683714752197265625e+02
4.163923679249101339e-02 4.862514114379882812e+01
4.428357491928903295e-02 4.098386764526367188e+01
8.674842636040056010e-02 1.145177612304687500e+02
6.544004854645577018e-02 8.947895050048828125e+01
3.951087506899228496e-02 9.283930206298828125e+01
7.653691468251239138e-02 1.192571182250976562e+02
1.471889209903026297e+00 6.527097320556640625e+01
2.406852732591905145e-02 4.736158752441406250e+01
3.259238938407864328e-02 7.231657409667968750e+01
3.054223964808011962e-02 2.783443260192871094e+01
3.521864835798713123e-02 3.291664505004882812e+01
3.299471604004716729e-02 3.679668807983398438e+01
9.655099546042950065e-02 1.050615844726562500e+02
2.202211132801727353e-02 4.104867553710937500e+01
8.391085091105176738e-03 7.211583709716796875e+01
3.283049706796753453e-02 1.225428848266601562e+02
2.763575380438435328e-02 5.579507827758789062e+01
4.186018238197032615e-02 3.973179244995117188e+01
4.575270260409235873e-02 1.532710113525390625e+02
7.331902198071267585e-02 1.279183654785156250e+02
2.406852732591905145e-02 1.418560791015625000e+02
3.140434012336532077e-02 5.884821701049804688e+01
3.009563216836773358e-02 4.650886154174804688e+01
3.568818229969706463e-02 8.362182617187500000e+01
2.336101670867449590e-02 8.935756683349609375e+01
2.539439737532623795e-02 3.544756698608398438e+01
3.165764477634974011e-02 7.538863372802734375e+01
8.674842636040056010e-02 1.989388732910156250e+02
6.740419129787486585e-02 1.447050170898437500e+02
3.640368442655220194e-02 1.076005096435546875e+02
6.396889023216123515e-02 1.625312042236328125e+02
8.900294912906302203e-02 2.072551574707031250e+02
9.176427771622566731e-02 3.177296752929687500e+02
6.814163732407053919e-02 2.273721160888671875e+02
7.728064910971309265e-02 1.592930908203125000e+02
2.265448865408698637e-02 6.398285293579101562e+01
8.574778455047299408e-02 1.899541625976562500e+02
4.214669765276262553e-02 1.356987457275390625e+02
6.225536646246394162e-02 1.056573867797851562e+02
8.749923523873193165e-02 8.577947235107421875e+01
6.617611898493155898e-02 2.049907226562500000e+02
2.171286610775882350e-02 3.514572525024414062e+01
2.359696275471790186e-02 9.093411254882812500e+01
4.340326428276004150e-02 4.334460067749023438e+01
4.516355803493232735e-02 5.398088836669921875e+01
3.566289768732261445e-02 6.864160919189453125e+01
3.831431026525129735e-02 2.689443054199218750e+02
8.925343710243058282e-02 2.348766174316406250e+02
1.001447511306348404e-02 4.895886230468750000e+01
4.318271171834357075e-02 5.961385726928710938e+01
9.302182690888015359e-02 1.972431182861328125e+02
4.575270260409235873e-02 6.399822616577148438e+01
1.954225419000743882e-02 5.090287017822265625e+01
6.888013141710035148e-02 2.257669372558593750e+02
9.277042187703267440e-02 1.044356994628906250e+02
9.302182690888015359e-02 1.589785003662109375e+02
2.879511223551214222e-02 1.177135848999023438e+02
2.241926315399207087e-02 1.945130462646484375e+02
3.544935406985968984e-02 5.867955017089843750e+01
4.494385702481861616e-02 7.323157501220703125e+01
7.653691468251239138e-02 2.989978332519531250e+02
3.140434012336532077e-02 1.304626464843750000e+02
6.961862551013014988e-02 5.995238876342773438e+01
3.076521586705062081e-02 5.712479782104492188e+01
3.989204387574590144e-03 6.390011215209960938e+01
4.118771649949344582e-02 1.180439682006835938e+02
1.054243878077861102e-01 2.692891845703125000e+02
4.286724360125720307e-02 6.361891937255859375e+01
5.615791013377131186e-02 1.277995986938476562e+02
7.728064910971309265e-02 1.621352691650390625e+02
9.226721878827491563e-02 1.690909271240234375e+02
