plate,mjd,fiberID
2829,54623,312
760,52264,406
4081,55365,13
2229,53823,499
541,51959,542
541,51959,582
566,52238,473
6494,56363,722
306,51637,595
2246,53767,169
2290,53727,505
4081,55365,168
4081,55365,208
4466,55857,256
4466,55857,258
835,52326,194
6316,56483,664
429,51820,55
541,51959,21
1437,53046,308
2608,54474,514
2608,54474,516
2608,54474,455
597,52059,259
597,52059,281
860,52319,425
371,52078,137
3941,55321,93
5786,56251,274
663,52145,95
4466,55857,292
946,52407,484
2967,54584,308
488,51914,576
1018,52672,22
6822,56711,311
2089,53498,628
2089,53498,631
630,52050,245
1798,53851,637
2128,53800,540
2424,54448,382
1604,53078,616
2481,54086,142
465,51910,213
4037,55631,615
491,51942,591
3955,55678,242
3955,55678,284
551,51993,422
4774,55659,256
4075,55352,496
4075,55352,500
6012,56101,720
1974,53430,431
1673,53462,554
2520,54584,213
2521,54538,521
1678,53433,294
5352,56269,758
3606,55182,742
5151,56567,686
5401,55949,416
517,52024,165
328,52282,356
1813,53903,620
3650,55244,828
1817,53851,443
1817,53851,489
4961,55719,294
793,52370,166
4093,55475,662
1314,53050,283
2808,54524,282
2808,54524,298
633,52079,414
4467,55894,470
5396,55947,844
6153,56164,924
5467,55973,472
854,52373,352
359,51821,186
6699,56411,204
1791,54266,152
390,51900,407
5871,56041,752
4452,55536,94
2657,54502,122
2657,54502,133
652,52138,503
655,52162,368
655,52162,378
6425,56298,594
4007,55327,744
2754,54240,372
4529,55563,16
7090,56659,106
4740,55651,52
491,51942,423
501,52235,163
1665,52976,5
1665,52976,18
1665,52976,20
1665,52976,27
1665,52976,33
1665,52976,44
1665,52976,47
1665,52976,54
2520,54584,354
2520,54584,378
2520,54584,387
2867,54479,307
5361,55973,20
3606,55182,77
3606,55182,252
2604,54484,487
307,51663,68
5411,55953,190
2238,54205,222
2275,53709,26
555,52266,364
572,52289,280
829,52296,538
581,52356,80
4404,55513,618
4412,55912,306
3678,55208,772
3679,55209,793
367,51997,598
367,51997,606
4209,55478,766
490,51929,273
1314,53050,526
1486,52993,585
412,52258,282
6641,56383,70
1876,54464,382
1272,52989,457
3676,55186,966
721,52228,477
1624,53386,594
1624,53386,639
4209,55478,658
2783,54524,350
2485,54176,534
1304,52993,541
4320,55894,948
4878,55710,882
394,51913,46
394,51913,53
394,51913,63
1807,54175,503
1807,54175,508
4235,55451,392
666,52149,65
2744,54272,552
2744,54272,561
2744,54272,575
969,52442,216
4494,55569,98
713,52178,380
4719,55736,276
3668,55478,912
4776,55652,854
517,52024,477
578,52339,337
298,51955,387
587,52026,425
2240,53823,268
896,52592,462
896,52592,473
1810,53794,331
3651,55247,142
4081,55365,410
4081,55365,440
3655,55240,380
666,52149,534
4626,55647,12
2591,54140,470
2266,53679,290
1625,53140,587
328,52282,75
566,52238,349
566,52238,381
566,52238,400
566,52238,433
566,52238,437
568,52254,112
666,52149,357
666,52149,399
2419,54139,94
854,52373,140
4020,55332,980
6168,56187,700
2481,54086,58
2781,54266,286
7096,56683,621
3690,55182,754
3692,55186,720
1511,52946,351
2660,54504,237
6424,56272,708
2141,53764,624
1850,53786,555
2156,54525,476
435,51882,7
697,52226,287
2758,54523,133
2758,54523,163
5297,55913,864
4504,55571,58
7086,56658,142
489,51930,50
1666,52991,443
1665,52976,201
1665,52976,205
1665,52976,231
1665,52976,233
1665,52976,234
1665,52976,236
1665,52976,239
1665,52976,240
1665,52976,247
1665,52976,253
4064,55366,972
6002,56104,892
766,52247,597
1665,52976,453
1665,52976,461
