# z_Value Average_Flux
1.021202261046984250e-01 1.304025268554687500e+02
2.713824957903740800e-02 1.681328125000000000e+02
8.374984164365174844e-02 2.797183227539062500e+02
4.816325632269242291e-02 1.304414520263671875e+02
7.529836170122729266e-02 2.650109558105468750e+02
4.186018238197036778e-02 4.848033905029296875e+01
2.202211132801725965e-02 8.321314239501953125e+01
9.478500284484643601e-02 1.860843200683593750e+02
4.238703247867414009e-02 1.006294937133789062e+02
2.548400708964811828e-02 8.036684417724609375e+01
3.378181423251176707e-02 5.626945114135742188e+01
2.595642321515199968e-02 8.476744842529296875e+01
8.075898641980494563e-02 9.446233367919921875e+01
4.648202611232312570e-02 4.616820526123046875e+01
7.926725979388973831e-02 2.153021392822265625e+02
4.163923679249098564e-02 2.672401428222656250e+01
8.026135118610386310e-02 1.194846343994140625e+02
7.183757951060786018e-02 1.661316223144531250e+02
7.183757951060786018e-02 1.839200592041015625e+02
9.176427771622562568e-02 1.683714447021484375e+02
6.544004854645578406e-02 8.947888183593750000e+01
7.653691468251234975e-02 1.192571487426757812e+02
3.259238938407865022e-02 7.231664276123046875e+01
3.299471604004716035e-02 3.679671096801757812e+01
8.391085091105181942e-03 7.211573028564453125e+01
4.186018238197036778e-02 3.973180770874023438e+01
7.331902198071262033e-02 1.279184417724609375e+02
3.140434012336531383e-02 5.884822082519531250e+01
3.568818229969706463e-02 8.362172698974609375e+01
2.336101670867450977e-02 8.935761260986328125e+01
2.539439737532623795e-02 3.544752883911132812e+01
8.674842636040047683e-02 1.989389038085937500e+02
6.740419129787481034e-02 1.447050170898437500e+02
8.900294912906304978e-02 2.072552947998046875e+02
9.176427771622562568e-02 3.177300109863281250e+02
6.814163732407059471e-02 2.273721008300781250e+02
7.728064910971309265e-02 1.592929992675781250e+02
2.265448865408700718e-02 6.398296356201171875e+01
8.574778455047303571e-02 1.899544219970703125e+02
6.225536646246390693e-02 1.056573410034179688e+02
6.617611898493157285e-02 2.049904174804687500e+02
2.171286610775880616e-02 3.514570999145507812e+01
4.340326428276002763e-02 4.334466552734375000e+01
4.516355803493232735e-02 5.398083496093750000e+01
3.566289768732261445e-02 6.864157104492187500e+01
3.831431026525128347e-02 2.689441833496093750e+02
8.925343710243052731e-02 2.348766479492187500e+02
4.318271171834359157e-02 5.961386108398437500e+01
9.302182690888019523e-02 1.972433776855468750e+02
4.575270260409230322e-02 6.399825286865234375e+01
1.954225419000743882e-02 5.090289688110351562e+01
9.277042187703267440e-02 1.044354782104492188e+02
2.879511223551212487e-02 1.177134323120117188e+02
3.544935406985970372e-02 5.867953872680664062e+01
4.494385702481861616e-02 7.323152160644531250e+01
3.140434012336531383e-02 1.304628143310546875e+02
6.961862551013010825e-02 5.995235824584960938e+01
3.989204387574589276e-03 6.390013885498046875e+01
4.118771649949342500e-02 1.180439987182617188e+02
1.054243878077860824e-01 2.692895202636718750e+02
7.728064910971309265e-02 1.621352539062500000e+02
9.226721878827480461e-02 1.690910034179687500e+02
4.472363198128781470e-02 4.490844345092773438e+01
2.832132052228837626e-02 1.514924011230468750e+02
3.497254916448767209e-02 1.517975463867187500e+02
2.713824957903740800e-02 9.289444732666015625e+01
8.001289384222734502e-02 1.157632293701171875e+02
7.356656226610922000e-02 1.169736633300781250e+02
2.561855266948520268e-02 4.635047912597656250e+01
2.619302430296678585e-02 1.225005874633789062e+02
5.713130220601043974e-02 5.322396087646484375e+01
4.671646556229245434e-02 7.436334991455078125e+01
7.901840942495054476e-02 1.588564300537109375e+02
8.026135118610386310e-02 1.521285400390625000e+02
2.763575380438434287e-02 3.950373458862304688e+01
